scheduler,workload,repetition,pid,cpu_ticks,wait_ticks,response_ticks,turnaround_ticks,context_switches
vanilla,starvation,2,8,0,1,1,1,1
vanilla,starvation,2,9,0,1,1,1,1
vanilla,starvation,2,10,0,1,1,1,1
vanilla,starvation,2,11,0,1,1,1,1
vanilla,starvation,2,12,0,1,1,1,1
vanilla,starvation,2,13,0,1,1,1,1
vanilla,starvation,2,14,0,1,1,1,1
vanilla,starvation,2,15,0,1,1,1,1
vanilla,starvation,2,16,0,1,1,1,1
vanilla,starvation,2,17,0,1,1,1,1
vanilla,starvation,2,18,0,1,1,1,1
vanilla,starvation,2,19,0,1,1,1,1
vanilla,starvation,2,20,0,1,1,1,1
vanilla,starvation,2,21,0,1,1,1,1
vanilla,starvation,2,22,0,1,1,1,1
vanilla,starvation,2,23,0,1,1,1,1
vanilla,starvation,2,24,0,1,1,1,1
vanilla,starvation,2,25,0,1,1,1,1
vanilla,starvation,2,26,0,1,1,1,1
vanilla,starvation,2,27,0,1,1,1,1
vanilla,starvation,2,28,0,1,1,1,1
vanilla,starvation,2,29,0,1,1,1,1
vanilla,starvation,2,30,0,1,1,1,1
vanilla,starvation,2,31,0,1,1,1,1
vanilla,starvation,2,32,0,1,1,1,1
vanilla,starvation,2,33,0,1,1,1,1
vanilla,starvation,2,34,0,1,1,1,1
vanilla,starvation,2,35,0,1,1,1,1
vanilla,starvation,2,36,0,1,1,1,1
vanilla,starvation,2,37,0,1,1,1,1
vanilla,starvation,2,38,0,1,1,1,1
vanilla,starvation,2,39,0,1,1,1,1
vanilla,starvation,2,40,0,1,1,1,1
vanilla,starvation,2,41,0,1,1,1,1
vanilla,starvation,2,42,0,1,1,1,1
vanilla,starvation,2,43,0,1,1,1,1
vanilla,starvation,2,44,0,1,1,1,1
vanilla,starvation,2,45,0,1,1,1,1
vanilla,starvation,2,46,0,1,1,1,1
vanilla,starvation,2,47,0,1,1,1,1
vanilla,starvation,2,48,0,1,1,1,1
vanilla,starvation,2,49,0,0,0,0,1
vanilla,starvation,2,50,0,0,0,0,1
vanilla,starvation,2,51,1,0,0,1,2
vanilla,starvation,2,52,0,1,1,1,1
vanilla,starvation,2,53,0,0,0,0,1
vanilla,starvation,2,54,0,0,0,0,1
vanilla,starvation,2,55,0,0,0,0,1
vanilla,starvation,2,56,2,0,0,2,3
vanilla,starvation,2,57,0,0,0,0,1
vanilla,starvation,2,58,0,0,0,0,1
vanilla,starvation,2,59,0,0,0,0,1
vanilla,starvation,2,60,0,0,0,0,1
vanilla,starvation,2,61,0,0,0,0,1
vanilla,starvation,2,62,0,0,0,0,1
vanilla,starvation,2,63,0,0,0,0,1
vanilla,starvation,2,64,0,0,0,0,1
vanilla,starvation,2,65,0,0,0,0,1
vanilla,starvation,2,66,0,0,0,0,1
vanilla,starvation,2,67,0,0,0,0,1
